Index;Issue;IVersion;OVersion;AVersion;FixVersion
0;BOOKKEEPER-1;4.0.0;4.0.0;;4.0.0;
1;BOOKKEEPER-100;4.0.0;4.0.0;;4.0.0;
2;BOOKKEEPER-1013;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
3;BOOKKEEPER-1018;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
4;BOOKKEEPER-1020;4.5.0;4.5.0;;4.5.0;
5;BOOKKEEPER-1021;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
6;BOOKKEEPER-1031;4.4.0;4.5.0;4.4.0;4.5.0;
7;BOOKKEEPER-1044;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
8;BOOKKEEPER-1047;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
9;BOOKKEEPER-1058;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
10;BOOKKEEPER-106;4.0.0;4.0.0;;4.0.0;
11;BOOKKEEPER-1061;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
12;BOOKKEEPER-107;4.0.0;4.0.0;;4.0.0;
13;BOOKKEEPER-1071;4.5.0;4.5.0;;4.5.0;
14;BOOKKEEPER-1072;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
15;BOOKKEEPER-1073;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
16;BOOKKEEPER-1074;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
17;BOOKKEEPER-1075;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
18;BOOKKEEPER-1077;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
19;BOOKKEEPER-1079;4.5.0;4.5.0;;4.5.0;
20;BOOKKEEPER-1098;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
21;BOOKKEEPER-1101;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
22;BOOKKEEPER-1102;4.5.0;4.5.0;;4.5.0;
23;BOOKKEEPER-1103;4.5.0;4.5.0;;4.5.0;
24;BOOKKEEPER-1104;4.3.2;4.5.0;4.3.2, 4.4.0;4.5.0;
25;BOOKKEEPER-1105;4.5.0;4.5.0;4.5.0, 4.5.1;4.6.0;
26;BOOKKEEPER-112;4.0.0;4.0.0;4.0.0;4.1.0;
27;BOOKKEEPER-113;4.0.0;4.0.0;4.0.0;4.1.0;
28;BOOKKEEPER-115;4.0.0;4.0.0;;4.0.0;
29;BOOKKEEPER-118;4.0.0;4.0.0;;4.0.0;
30;BOOKKEEPER-119;4.0.0;4.0.0;;4.0.0;
31;BOOKKEEPER-124;4.0.0;4.0.0;;4.0.0;
32;BOOKKEEPER-125;4.0.0;4.0.0;;4.0.0;
33;BOOKKEEPER-127;4.0.0;4.0.0;;4.0.0;
34;BOOKKEEPER-128;4.0.0;4.0.0;;4.0.0;
35;BOOKKEEPER-129;4.0.0;4.0.0;;4.0.0;
36;BOOKKEEPER-131;4.0.0;4.0.0;;4.0.0;
37;BOOKKEEPER-133;4.0.0;4.0.0;4.0.0;4.1.0;
38;BOOKKEEPER-134;4.0.0;4.0.0;;4.0.0;
39;BOOKKEEPER-135;4.0.0;4.0.0;4.0.0;4.1.0;
40;BOOKKEEPER-137;4.0.0;4.0.0;4.0.0;4.1.0;
41;BOOKKEEPER-138;4.0.0;4.0.0;;4.0.0;
42;BOOKKEEPER-139;4.0.0;4.0.0;;4.0.0;
43;BOOKKEEPER-140;4.0.0;4.0.0;4.0.0;4.1.0;
44;BOOKKEEPER-142;4.0.0;4.1.0;4.0.0;4.1.0;
45;BOOKKEEPER-146;4.0.0;4.1.0;4.0.0;4.1.0;
46;BOOKKEEPER-148;4.0.0;4.1.0;4.0.0;4.1.0;
47;BOOKKEEPER-150;4.0.0;4.1.0;4.0.0;4.1.0;
48;BOOKKEEPER-152;4.0.0;4.1.0;4.0.0;4.1.0;
49;BOOKKEEPER-153;4.0.0;4.1.0;4.0.0;4.1.0;
50;BOOKKEEPER-156;4.0.0;4.1.0;4.0.0;4.1.0;
51;BOOKKEEPER-161;4.0.0;4.1.0;4.0.0;4.1.0;
52;BOOKKEEPER-162;4.0.0;4.1.0;4.0.0;4.1.0;
53;BOOKKEEPER-163;4.0.0;4.1.0;4.0.0;4.1.0;
54;BOOKKEEPER-166;4.0.0;4.1.0;4.0.0;4.1.0;
55;BOOKKEEPER-167;4.0.0;4.1.0;4.0.0;4.1.0;
56;BOOKKEEPER-169;4.0.0;4.1.0;4.0.0;4.1.0;
57;BOOKKEEPER-170;4.0.0;4.1.0;4.0.0;4.1.0;
58;BOOKKEEPER-171;4.0.0;4.1.0;4.0.0;4.1.0;
59;BOOKKEEPER-173;4.0.0;4.1.0;4.0.0;4.1.0;
60;BOOKKEEPER-174;4.0.0;4.1.0;4.0.0;4.1.0;
61;BOOKKEEPER-176;4.0.0;4.1.0;4.0.0;4.1.0;
62;BOOKKEEPER-177;4.0.0;4.1.0;4.0.0;4.1.0;
63;BOOKKEEPER-18;4.0.0;4.0.0;;4.0.0;
