@relation 'TAJO'

@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
500,7,7,1,12,1128,94,94,84,7,7,192,16,16,-24,-2,0,1,YES
214,20,20,1,29,1689,58,94,116,4,4,198,6,8,34,1,2,2,YES
277,1,1,2,12,838,69,130,170,14,16,206,17,18,134,11,14,2,NO
145,1,1,1,2,258,129,130,2,1,1,6,3,4,-2,-1,0,1,NO
51,1,1,1,10,90,9,9,20,2,2,30,3,3,10,1,1,1,NO
317,1,1,1,2,4,2,2,10,5,5,12,6,6,8,4,4,1,NO
194,47,47,1,17,170,10,10,85,5,5,102,6,6,68,4,4,1,NO
129,47,47,2,34,986,29,31,119,3,4,221,6,8,17,0,1,2,NO
737,1,1,2,44,286,6,12,418,9,11,495,11,12,341,7,10,4,NO
29,16,16,1,12,96,8,8,60,5,5,84,7,7,36,3,3,1,NO
39,20,20,3,79,2118,26,130,99,1,2,138,1,3,60,0,2,8,YES
539,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
78,1,1,1,11,55,5,5,22,2,2,22,2,2,22,2,2,1,NO
386,1,1,1,23,1315,57,94,56,2,4,112,4,8,0,0,0,2,YES
207,5,5,2,36,684,19,40,948,26,60,1380,38,96,516,14,24,3,YES
361,1,1,1,2,100,50,50,48,24,24,52,26,26,44,22,22,1,NO
417,20,20,1,29,453,15,21,179,6,7,334,11,14,24,0,2,2,YES
523,1,1,1,4,57,14,16,60,15,45,109,27,82,11,2,8,2,NO
234,47,47,2,34,986,29,31,323,9,16,901,26,48,-255,-7,1,2,NO
194,20,20,1,12,240,20,20,12,1,1,24,2,2,0,0,0,1,YES
79,1,1,1,3,71,23,24,12,4,4,12,4,4,12,4,4,1,NO
79,1,1,1,10,580,58,58,30,3,3,40,4,4,20,2,2,1,NO
163,1,1,1,2,258,129,130,4,2,2,4,2,2,4,2,2,1,NO
159,47,47,2,34,1989,58,65,51,1,2,102,3,4,0,0,0,2,NO
1142,1,1,4,18,257,14,29,583,32,75,2115,117,220,-949,-52,20,5,NO
1111,1,1,3,13,129,9,14,83,6,21,867,66,83,-701,-53,1,3,NO
452,7,7,1,12,1128,94,94,72,6,6,144,12,12,0,0,0,1,YES
46,1,1,1,12,108,9,9,24,2,2,48,4,4,0,0,0,1,NO
175,1,1,1,2,100,50,50,20,10,10,30,15,15,10,5,5,1,NO
1228,47,47,2,85,3077,36,52,1360,16,36,2601,30,69,119,1,3,5,NO
184,1,1,1,10,50,5,5,1840,184,184,1840,184,184,1840,184,184,1,YES
112,20,20,1,4,52,13,13,8,2,2,16,4,4,0,0,0,1,NO
208,11,11,1,29,1689,58,94,99,3,4,181,6,8,17,0,1,2,YES
211,1,1,1,1,1,1,1,5,5,5,7,7,7,3,3,3,1,NO
1061,1,1,1,66,319,4,9,1375,20,87,1793,27,108,957,14,66,6,NO
507,47,47,2,119,3383,28,52,374,3,6,629,5,9,119,1,6,7,NO
108,1,1,1,2,258,129,130,12,6,6,19,9,10,5,2,3,1,NO
72,1,1,2,10,306,30,130,10,1,1,22,2,3,-2,0,0,2,NO
35,47,47,1,17,1105,65,65,51,3,3,204,12,12,-102,-6,0,1,NO
107,1,1,1,2,258,129,130,2,1,1,4,2,2,0,0,0,1,NO
496,1,1,2,18,246,13,23,78,4,7,148,8,14,8,0,1,2,NO
137,1,1,2,16,64,4,6,16,1,1,32,2,2,0,0,0,2,NO
51,1,1,1,10,80,8,8,20,2,2,30,3,3,10,1,1,1,NO
180,1,0,1,11,176,16,16,0,0,0,11,1,1,-11,-1,0,1,NO
545,20,20,6,76,2035,26,130,2514,33,122,2916,38,125,2112,27,119,10,YES
96,20,20,2,24,420,17,32,744,31,60,1320,55,106,168,7,14,2,YES
374,1,1,2,10,306,30,130,21,2,3,40,4,5,2,0,1,2,NO
338,47,47,2,51,731,14,31,170,3,6,255,5,6,85,1,6,3,NO
141,1,1,1,2,258,129,130,16,8,8,20,10,10,12,6,6,1,NO
163,1,1,1,12,324,27,27,24,2,2,24,2,2,24,2,2,1,NO
211,1,1,1,2,100,50,50,2,1,1,4,2,2,0,0,0,1,NO
178,1,1,1,2,258,129,130,4,2,2,14,7,7,-6,-3,0,1,NO
125,0,0,1,24,1272,53,94,84,3,6,144,6,9,24,1,3,2,YES
129,20,20,2,11,276,25,130,260,23,27,273,24,27,247,22,27,2,NO
198,3,3,2,22,121,5,10,198,9,12,264,12,16,132,6,8,2,NO
646,20,20,2,53,179,3,7,298,5,14,535,10,23,61,1,5,4,YES
48,9,9,1,24,228,9,11,48,2,2,48,2,2,48,2,2,2,NO
66,1,1,1,60,312,5,8,1272,21,66,1272,21,66,1272,21,66,5,YES
56,1,1,1,12,108,9,9,672,56,56,672,56,56,672,56,56,1,NO
383,14,14,1,48,216,4,12,120,2,7,276,5,11,-36,0,3,4,YES
153,1,1,1,6,24,4,4,18,3,3,36,6,6,0,0,0,1,NO
369,1,1,1,11,22,2,2,11,1,1,22,2,2,0,0,0,1,NO
87,1,1,1,2,4,2,2,40,20,20,104,52,52,-24,-12,0,1,NO
628,1,1,3,48,1144,23,130,419,8,20,816,17,50,22,0,6,6,NO
43,20,20,1,12,384,32,32,24,2,2,36,3,3,12,1,1,1,YES
62,6,6,1,12,156,13,13,12,1,1,24,2,2,0,0,0,1,YES
185,47,47,1,17,527,31,31,34,2,2,85,5,5,-17,-1,0,1,NO
376,1,1,3,30,703,23,37,559,18,50,1193,39,101,-75,-2,0,4,NO
138,20,20,2,38,288,7,14,87,2,4,197,5,7,-23,0,2,3,NO
213,1,1,1,2,258,129,130,40,20,20,40,20,20,40,20,20,1,NO
280,1,1,1,8,32,4,4,120,15,15,128,16,16,112,14,14,1,NO
203,20,20,1,82,2811,34,94,622,7,24,975,11,34,269,3,14,6,YES
