@relation 'TAJO'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestRightOuterMergeJoinExec.java,500,7,7,1,12,1128,94,94,84,7,7,192,16,16,-24,-2,0,1,YES
1,tajo-core/tajo-core-backend/src/test/java/org/apache/tajo/engine/planner/physical/TestMergeJoinExec.java,214,20,20,1,29,1689,58,94,116,4,4,198,6,8,34,1,2,2,YES
1,tajo-core/src/main/java/org/apache/tajo/engine/function/datetime/DatePartFromTimestamp.java,277,1,1,2,12,838,69,130,170,14,16,206,17,18,134,11,14,2,NO
1,tajo-core/src/main/java/org/apache/tajo/master/exec/CreateTableExecutor.java,145,1,1,1,2,258,129,130,2,1,1,6,3,4,-2,-1,0,1,NO
1,tajo-plan/src/main/java/org/apache/tajo/plan/serder/EvalNodeAdapter.java,51,1,1,1,10,90,9,9,20,2,2,30,3,3,10,1,1,1,NO
1,tajo-core-tests/src/test/java/org/apache/tajo/util/history/TestHistoryWriterReader.java,317,1,1,1,2,4,2,2,10,5,5,12,6,6,8,4,4,1,NO
1,tajo-core/tajo-core-backend/src/main/java/tajo/engine/planner2/physical/HashJoinExec.java,194,47,47,1,17,170,10,10,85,5,5,102,6,6,68,4,4,1,NO
1,tajo-core/tajo-core-storage/src/test/java/tajo/storage/TestCSVFile.java,129,47,47,2,34,986,29,31,119,3,4,221,6,8,17,0,1,2,NO
1,tajo-core/src/main/java/org/apache/tajo/master/querymaster/QueryUnit.java,737,1,1,2,44,286,6,12,418,9,11,495,11,12,341,7,10,4,NO
1,tajo-algebra/src/main/java/org/apache/tajo/algebra/CountRowsFunctionExpr.java,29,16,16,1,12,96,8,8,60,5,5,84,7,7,36,3,3,1,NO
1,tajo-common/src/main/java/org/apache/tajo/TajoConstants.java,39,20,20,3,79,2118,26,130,99,1,2,138,1,3,60,0,2,8,YES
1,tajo-core/src/test/java/org/apache/tajo/engine/planner/physical/TestFullOuterMergeJoinExec.java,539,1,0,1,10,270,27,27,0,0,0,20,2,2,-20,-2,0,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/optimizer/eval/EvalTreeOptimizer.java,78,1,1,1,11,55,5,5,22,2,2,22,2,2,22,2,2,1,NO
1,tajo-storage/src/main/java/org/apache/tajo/storage/v2/CSVFileScanner.java,386,1,1,1,23,1315,57,94,56,2,4,112,4,8,0,0,0,2,YES
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/ExprsVerifier.java,207,5,5,2,36,684,19,40,948,26,60,1380,38,96,516,14,24,3,YES
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/physical/RightOuterMergeJoinExec.java,361,1,1,1,2,100,50,50,48,24,24,52,26,26,44,22,22,1,NO
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/TajoClient.java,417,20,20,1,29,453,15,21,179,6,7,334,11,14,24,0,2,2,YES
1,tajo-core/src/main/java/org/apache/tajo/engine/planner/global/rewriter/rules/BroadcastJoinRule.java,523,1,1,1,4,57,14,16,60,15,45,109,27,82,11,2,8,2,NO
1,tajo-core/tajo-core-storage/src/test/java/tajo/storage/TestRowFile2.java,234,47,47,2,34,986,29,31,323,9,16,901,26,48,-255,-7,1,2,NO
1,tajo-core/tajo-core-storage/src/main/java/org/apache/tajo/storage/trevni/TrevniScanner.java,194,20,20,1,12,240,20,20,12,1,1,24,2,2,0,0,0,1,YES
1,tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/TypeDesc.java,79,1,1,1,3,71,23,24,12,4,4,12,4,4,12,4,4,1,NO
1,tajo-core/src/main/java/org/apache/tajo/engine/function/string/BTrim.java,79,1,1,1,10,580,58,58,30,3,3,40,4,4,20,2,2,1,NO
1,tajo-client/src/main/java/org/apache/tajo/client/ClientParameterHelper.java,163,1,1,1,2,258,129,130,4,2,2,4,2,2,4,2,2,1,NO
1,tajo-core/tajo-core-backend/src/test/java/tajo/worker/dataserver/TestHttpDataServer.java,159,47,47,2,34,1989,58,65,51,1,2,102,3,4,0,0,0,2,NO
