Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
TAJO,1,33.33,23.45,31.7,Random Forest,No sampling,No selection,No cost sensitive,1701.0,449.0,370.0,64.0,0.7911627906976744,0.9637393767705382,0.7610414137326319,0.4753995076893854,
TAJO,2,50.0,28.95,28.35,Random Forest,No sampling,No selection,No cost sensitive,2350.0,364.0,735.0,427.0,0.8658806190125277,0.8462369463449766,0.8467282759099755,0.5062587365288361,
TAJO,3,63.64,27.91,23.55,Random Forest,No sampling,No selection,No cost sensitive,3799.0,341.0,876.0,152.0,0.9176328502415458,0.9615287269045811,0.9583443817828381,0.7200195867959676,
TAJO,4,75.0,26.66,20.99,Random Forest,No sampling,No selection,No cost sensitive,5102.0,353.0,1003.0,2.0,0.9352887259395051,0.9996081504702194,0.9860479460842788,0.816924120863769,
TAJO,output-mean,55.49,26.74,26.15,Random Forest,No sampling,No selection,No cost sensitive,3238.0,376.75,746.0,161.25,0.8774912464728133,0.9427783001225789,0.8880405043774311,0.6296504879694895,
TAJO,1,33.33,23.45,31.7,Random Forest,No sampling,No selection,Sensitive threshold,1726.0,637.0,182.0,39.0,0.7304274227676683,0.9779036827195468,0.7499458677928933,0.24881201292529942,
TAJO,2,50.0,28.95,28.35,Random Forest,No sampling,No selection,Sensitive threshold,2460.0,673.0,426.0,317.0,0.7851899138206192,0.8858480374504861,0.8167799449723994,0.30314077346717827,
TAJO,3,63.64,27.91,23.55,Random Forest,No sampling,No selection,Sensitive threshold,3895.0,617.0,600.0,56.0,0.8632535460992907,0.9858263730701088,0.9267165962997417,0.5697041677801201,
TAJO,4,75.0,26.66,20.99,Random Forest,No sampling,No selection,Sensitive threshold,5104.0,590.0,766.0,0.0,0.8963821566561293,1.0,0.971434068137894,0.6722991028592533,
TAJO,output-mean,55.49,26.74,26.15,Random Forest,No sampling,No selection,Sensitive threshold,3296.25,629.25,493.5,103.0,0.8188132598359269,0.9623945233100354,0.866219119300732,0.4484890142579628,
TAJO,1,33.33,23.45,31.7,Random Forest,No sampling,No selection,Sensitive learning,1738.0,598.0,221.0,27.0,0.7440068493150684,0.9847025495750709,0.6272719097081704,0.3130302215658317,
TAJO,2,50.0,28.95,28.35,Random Forest,No sampling,No selection,Sensitive learning,2551.0,562.0,537.0,226.0,0.8194667523289432,0.9186172128195895,0.7036216182387302,0.44868825809498064,
TAJO,3,63.64,27.91,23.55,Random Forest,No sampling,No selection,Sensitive learning,3944.0,523.0,694.0,7.0,0.8829191851354377,0.9982282966337636,0.7842415106833568,0.6662145579022154,
TAJO,4,75.0,26.66,20.99,Random Forest,No sampling,No selection,Sensitive learning,5104.0,506.0,850.0,0.0,0.9098039215686274,1.0,0.8134218289085545,0.7263619286161555,
TAJO,output-mean,55.49,26.74,26.15,Random Forest,No sampling,No selection,Sensitive learning,3334.25,547.25,575.5,65.0,0.8390491770870191,0.975387014757106,0.732139216884703,0.5385737415447958,
TAJO,1,43.36,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,1647.0,432.0,387.0,118.0,0.7922077922077922,0.9331444759206798,0.7527361841809433,0.4521257689784143,
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,2185.0,271.0,828.0,592.0,0.8896579804560261,0.7868203096867122,0.8479876458219948,0.4964251325257239,
TAJO,3,71.62,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,3593.0,206.0,1011.0,358.0,0.9457752040010529,0.9093900278410529,0.9533575536143559,0.7094632916752306,
TAJO,4,81.48,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,4909.0,192.0,1164.0,195.0,0.9623603215055871,0.961794670846395,0.9825694145837379,0.8195360351893254,
TAJO,output-mean,63.79,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,3083.5,275.25,847.5,315.75,0.8975003245426145,0.89778737107371,0.8841626995502581,0.6193875570921735,
TAJO,1,43.36,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,1674.0,479.0,340.0,91.0,0.777519739897817,0.9484419263456091,0.7500883755841263,0.41645516560473717,
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,2315.0,421.0,678.0,462.0,0.846125730994152,0.8336334173568599,0.8147305813416655,0.4455361430207217,
TAJO,3,71.62,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,3716.0,349.0,868.0,235.0,0.9141451414514146,0.9405213869906353,0.8956157048744408,0.6756482334661429,
TAJO,4,81.48,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,4920.0,324.0,1032.0,184.0,0.9382151029748284,0.9639498432601881,0.9521218247473207,0.7535781952655967,
TAJO,output-mean,63.79,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,3156.25,393.25,729.5,243.0,0.8690014288295529,0.9216366434883232,0.8531391216368883,0.5728044343392996,
TAJO,1,43.36,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,1721.0,491.0,328.0,44.0,0.7780289330922242,0.975070821529745,0.6877796110090728,0.4399013373265139,
TAJO,2,58.7,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,2493.0,436.0,663.0,284.0,0.8511437350631615,0.897731364782139,0.7505035349843361,0.5228551546559203,
TAJO,3,71.62,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,3920.0,406.0,811.0,31.0,0.9061488673139159,0.9921538850923817,0.8292733270983683,0.7371331890974829,
TAJO,4,81.48,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,5100.0,429.0,927.0,4.0,0.9224091155724362,0.9992163009404389,0.8414223097622548,0.7716428930403975,
TAJO,output-mean,63.79,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,3308.5,440.5,682.25,90.75,0.8644326627604344,0.9660430930861762,0.777244695713508,0.6178831435300787,
TAJO,1,19.0,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,1593.0,415.0,404.0,172.0,0.7933266932270916,0.9025495750708216,0.7509150591303566,0.4300268451130171,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,2104.0,242.0,857.0,673.0,0.896845694799659,0.757652142599928,0.8394333670934686,0.4805175401900438,
TAJO,3,49.41,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,3479.0,185.0,1032.0,472.0,0.9495087336244541,0.8805365730194887,0.9487044146172703,0.6735652304999178,
TAJO,4,61.53,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,4816.0,167.0,1189.0,288.0,0.9664860525787679,0.9435736677115988,0.979186605912651,0.7943906483945079,
TAJO,output-mean,41.65,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,2998.0,252.25,870.5,401.25,0.9015417935574932,0.8710779896004592,0.8795598616884366,0.5946250660493716,
TAJO,1,19.0,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,1553.0,449.0,370.0,212.0,0.7757242757242757,0.8798866855524079,0.6970004185301636,0.35953935477871424,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,1988.0,357.0,742.0,789.0,0.8477611940298507,0.715880446525027,0.770440964598386,0.34952938623248625,
TAJO,3,49.41,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,2777.0,294.0,923.0,1174.0,0.9042657114946272,0.7028600354340673,0.8238975935073175,0.36897260787842695,
TAJO,4,61.53,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,4478.0,337.0,1019.0,626.0,0.9300103842159917,0.8773510971786834,0.8942604446972009,0.583190063530052,
TAJO,output-mean,41.65,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive threshold,2699.0,359.25,763.5,700.25,0.8644403913661863,0.7939945661725464,0.796399855333267,0.41530785310491986,
TAJO,1,19.0,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,1728.0,541.0,278.0,37.0,0.7615689731159101,0.9790368271954675,0.6592375833169034,0.3813690672936015,
TAJO,2,36.67,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,2498.0,513.0,586.0,279.0,0.8296247093988708,0.8995318689232985,0.7163719399211579,0.4624955832353094,
TAJO,3,49.41,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,3918.0,448.0,769.0,33.0,0.8973889143380669,0.9916476841305999,0.8117646801918406,0.7069356684717176,
TAJO,4,61.53,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,5092.0,479.0,877.0,12.0,0.9140190271046491,0.9976489028213166,0.8222020325316023,0.7376835675815506,
TAJO,output-mean,41.65,50.0,50.0,Random Forest,Undersampling,No selection,Sensitive learning,3309.0,495.25,627.5,90.25,0.8506504059893742,0.9669663207676706,0.7523940589903759,0.5721209716455448,
TAJO,1,38.17,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,1688.0,436.0,383.0,77.0,0.7947269303201506,0.9563739376770538,0.765341551743818,0.4804566490662588,
TAJO,2,56.32,50.0,50.0,Random Forest,Smote,No selection,No cost sensitive,2247.0,346.0,753.0,530.0,0.8665638256845353,0.8091465610370904,0.8453122834357223,0.47051475860485886,
