@relation 'BOOKKEEPER'

@attribute release numeric
@attribute fileName string
@attribute numberOfLines numeric
@attribute numberOfAuthors numeric
@attribute age numeric
@attribute weightAge numeric
@attribute numberOfCommits numeric
@attribute changeSetSize numeric
@attribute avgChangeSetSize numeric
@attribute maxChangeSetSize numeric
@attribute addedLines numeric
@attribute avgAddedLines numeric
@attribute maxAddedLines numeric
@attribute changedLines numeric
@attribute avgChangedLines numeric
@attribute maxChangedLines numeric
@attribute churn numeric
@attribute avgChurn numeric
@attribute maxChurn numeric
@attribute numberOfBugs numeric
@attribute buggy {NO,YES}

@data
1,bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleOpStatsLogger.java,68,1,1,1,4,8,2,2,4,1,1,8,2,2,0,0,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,378,1,1,2,26,277,10,17,2864,110,228,3112,119,245,2616,100,211,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,638,36,36,2,16,107,6,8,29,1,2,32,2,2,26,1,2,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java,89,1,1,1,11,11,1,1,33,3,3,55,5,5,11,1,1,1,YES
1,bookkeeper-stats-providers/twitter-ostrich-provider/src/main/java/org/apache/bookkeeper/stats/twitter/ostrich/OpStatsLoggerImpl.java,116,1,1,1,3,45,15,15,87,29,29,111,37,37,63,21,21,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/CheckpointSource.java,83,1,1,1,7,7,1,1,7,1,1,14,2,2,0,0,0,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,325,1,1,5,96,738,7,50,4880,50,127,5070,52,127,4690,48,127,12,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieShutdownTest.java,115,1,1,2,25,381,15,50,1266,50,72,1280,51,73,1252,50,71,4,NO
1,bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleStatsLogger.java,109,1,1,1,3,45,15,15,30,10,10,30,10,10,30,10,10,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/WriteEntryProcessorV3.java,151,1,0,1,7,7,1,1,0,0,0,7,1,1,-7,-1,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LocalBookieEnsemblePlacementPolicy.java,88,1,1,1,4,8,2,2,68,17,17,68,17,17,68,17,17,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandleAdv.java,219,1,1,3,9,21,2,5,81,9,17,123,13,23,39,4,11,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,750,36,36,6,254,1295,5,22,6935,27,312,11026,43,446,2844,11,178,27,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerMetadataCreationTest.java,172,1,1,1,3,3,1,1,3,1,1,6,2,2,0,0,0,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/util/StaticDNSResolver.java,87,1,1,1,2,28,14,14,2,1,1,10,5,5,-6,-3,0,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreTable.java,193,1,1,1,3,51,17,17,6,2,2,12,4,4,0,0,0,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperCloseTest.java,629,1,1,3,27,487,18,50,5108,189,676,6004,222,676,4212,156,676,4,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,97,1,1,1,9,81,9,9,54,6,6,81,9,9,27,3,3,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,371,36,36,3,68,834,12,50,1662,24,76,2249,33,76,1075,15,76,7,YES
