Dataset,TrainingRelease,%DataTraining,%BugInTraining,%BugInTesting,Classifier,Balancing,Selection,CostSensitive,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,33.33,45.91,40.08,Random Forest,No sampling,No selection,No cost sensitive,274.0,3.0,203.0,34.0,0.9891696750902527,0.8896103896103896,0.9595810742655403,0.8537729320764583,
BOOKKEEPER,2,60.0,42.02,40.08,Random Forest,No sampling,No selection,No cost sensitive,308.0,0.0,206.0,0.0,1.0,1.0,1.0,1.0,
BOOKKEEPER,3,66.67,42.02,36.32,Random Forest,No sampling,No selection,No cost sensitive,447.0,32.0,248.0,44.0,0.9331941544885177,0.9103869653767821,0.9580993599068955,0.788837155665749,
BOOKKEEPER,4,76.47,41.01,36.19,Random Forest,No sampling,No selection,No cost sensitive,653.0,37.0,335.0,3.0,0.946376811594203,0.9954268292682927,0.9815065237345922,0.9140482600625408,
BOOKKEEPER,5,84.38,40.81,39.07,Random Forest,No sampling,No selection,No cost sensitive,782.0,78.0,424.0,1.0,0.9093023255813953,0.9987228607918263,0.979339347590481,0.8672129968148908,
BOOKKEEPER,6,90.16,40.99,36.19,Random Forest,No sampling,No selection,No cost sensitive,903.0,54.0,504.0,81.0,0.9435736677115988,0.9176829268292683,0.9677155272896815,0.8123996301523188,
BOOKKEEPER,output-mean,68.5,42.13,37.99,Random Forest,No sampling,No selection,No cost sensitive,561.1666666666666,34.0,320.0,27.166666666666668,0.9536027724109944,0.9519716619794266,0.9743736387978651,0.8727118291286596,
BOOKKEEPER,1,33.33,45.91,40.08,Random Forest,No sampling,No selection,Sensitive threshold,294.0,83.0,123.0,14.0,0.7798408488063661,0.9545454545454546,0.9566574202496533,0.5840244289075407,
BOOKKEEPER,2,60.0,42.02,40.08,Random Forest,No sampling,No selection,Sensitive threshold,308.0,52.0,154.0,0.0,0.8555555555555555,1.0,0.9999211953095448,0.7801829067701823,
BOOKKEEPER,3,66.67,42.02,36.32,Random Forest,No sampling,No selection,Sensitive threshold,455.0,39.0,241.0,36.0,0.9210526315789473,0.9266802443991853,0.9492253418679081,0.789211415573385,
BOOKKEEPER,4,76.47,41.01,36.19,Random Forest,No sampling,No selection,Sensitive threshold,654.0,90.0,282.0,2.0,0.8790322580645161,0.9969512195121951,0.9771484887227905,0.7957639416764564,
BOOKKEEPER,5,84.38,40.81,39.07,Random Forest,No sampling,No selection,Sensitive threshold,782.0,157.0,345.0,1.0,0.832800851970181,0.9987228607918263,0.9789157546060967,0.7264837746667098,
BOOKKEEPER,6,90.16,40.99,36.19,Random Forest,No sampling,No selection,Sensitive threshold,942.0,134.0,424.0,42.0,0.8754646840148699,0.9573170731707317,0.960859413701664,0.7437164290732724,
BOOKKEEPER,output-mean,68.5,42.13,37.99,Random Forest,No sampling,No selection,Sensitive threshold,572.5,92.5,261.5,15.833333333333334,0.8572911383317393,0.972369475403232,0.9704546024096096,0.7365638161112577,
BOOKKEEPER,1,33.33,45.91,40.08,Random Forest,No sampling,No selection,Sensitive learning,292.0,71.0,135.0,16.0,0.8044077134986226,0.948051948051948,0.8016958769385953,0.6313012219052488,
BOOKKEEPER,2,60.0,42.02,40.08,Random Forest,No sampling,No selection,Sensitive learning,308.0,20.0,186.0,0.0,0.9390243902439024,1.0,0.9514563106796117,0.9176651502530916,
BOOKKEEPER,3,66.67,42.02,36.32,Random Forest,No sampling,No selection,Sensitive learning,470.0,40.0,240.0,21.0,0.9215686274509803,0.9572301425661914,0.9071864998545243,0.8264224896752548,
BOOKKEEPER,4,76.47,41.01,36.19,Random Forest,No sampling,No selection,Sensitive learning,655.0,96.0,276.0,1.0,0.8721704394141145,0.9984756097560976,0.8702055468135327,0.7837357184374214,
BOOKKEEPER,5,84.38,40.81,39.07,Random Forest,No sampling,No selection,Sensitive learning,782.0,140.0,362.0,1.0,0.8481561822125814,0.9987228607918263,0.859919199320216,0.7574734999123244,
BOOKKEEPER,6,90.16,40.99,36.19,Random Forest,No sampling,No selection,Sensitive learning,949.0,133.0,425.0,35.0,0.8770794824399261,0.9644308943089431,0.8630398199143282,0.7547737780150626,
BOOKKEEPER,output-mean,68.5,42.13,37.99,Random Forest,No sampling,No selection,Sensitive learning,576.0,83.33333333333333,270.6666666666667,12.333333333333334,0.877067805876688,0.9778185759125012,0.8755838755868014,0.7785619763664006,
BOOKKEEPER,1,35.1,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,232.0,5.0,201.0,76.0,0.9789029535864979,0.7532467532467533,0.9364361366788552,0.6896181544379668,
BOOKKEEPER,2,63.49,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,290.0,9.0,197.0,18.0,0.9698996655518395,0.9415584415584416,0.9903385449501955,0.8914203451891028,
BOOKKEEPER,3,69.87,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,444.0,34.0,246.0,47.0,0.9288702928870293,0.9042769857433809,0.9516075065464068,0.7751158611898323,
BOOKKEEPER,4,79.32,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,605.0,46.0,326.0,51.0,0.9293394777265745,0.9222560975609756,0.9596077563598217,0.7962834331663547,
BOOKKEEPER,5,86.47,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,776.0,91.0,411.0,7.0,0.895040369088812,0.9910600255427842,0.9736036696127368,0.8348519660917371,
BOOKKEEPER,6,91.54,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,912.0,80.0,478.0,72.0,0.9193548387096774,0.926829268292683,0.9588505696884926,0.7858990660762046,
BOOKKEEPER,output-mean,70.97,50.0,50.0,Random Forest,Oversampling,No selection,No cost sensitive,543.1666666666666,44.166666666666664,309.8333333333333,45.166666666666664,0.936901266258405,0.906537928657503,0.9617406973060847,0.7955314710251997,
BOOKKEEPER,1,35.1,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,277.0,66.0,140.0,31.0,0.8075801749271136,0.8993506493506493,0.911754507628294,0.5957219077891117,
BOOKKEEPER,2,63.49,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,303.0,59.0,147.0,5.0,0.8370165745856354,0.9837662337662337,0.9649003908712647,0.729001219230896,
BOOKKEEPER,3,69.87,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,444.0,49.0,231.0,47.0,0.9006085192697769,0.9042769857433809,0.9353178644166424,0.7303979776934341,
BOOKKEEPER,4,79.32,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,608.0,82.0,290.0,48.0,0.881159420289855,0.926829268292683,0.9336439483346446,0.7206568452032575,
BOOKKEEPER,5,86.47,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,771.0,131.0,371.0,12.0,0.8547671840354767,0.9846743295019157,0.9434471564571854,0.755869923062922,
BOOKKEEPER,6,91.54,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,932.0,135.0,423.0,52.0,0.8734770384254921,0.9471544715447154,0.9435001238453244,0.7286810326820262,
BOOKKEEPER,output-mean,70.97,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive threshold,555.8333333333334,87.0,267.0,32.5,0.8591014852555584,0.9410086563665964,0.9387606652588926,0.7100548176102746,
BOOKKEEPER,1,35.1,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,278.0,47.0,159.0,30.0,0.8553846153846154,0.9025974025974026,0.8372210313957886,0.6837858135855931,
BOOKKEEPER,2,63.49,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,304.0,43.0,163.0,4.0,0.8760806916426513,0.987012987012987,0.8891375614676585,0.8034624709155697,
BOOKKEEPER,3,69.87,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,469.0,47.0,233.0,22.0,0.9089147286821705,0.955193482688391,0.8936681699156241,0.802736525946938,
BOOKKEEPER,4,79.32,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,638.0,73.0,299.0,18.0,0.8973277074542897,0.9725609756097561,0.8881622082349856,0.8019913471226219,
BOOKKEEPER,5,86.47,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,782.0,149.0,353.0,1.0,0.8399570354457573,0.9987228607918263,0.8509550558939212,0.7411167103623156,
BOOKKEEPER,6,91.54,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,944.0,131.0,427.0,40.0,0.878139534883721,0.959349593495935,0.8622912842031646,0.751097342025226,
BOOKKEEPER,output-mean,70.97,50.0,50.0,Random Forest,Oversampling,No selection,Sensitive learning,569.1666666666666,81.66666666666667,272.3333333333333,19.166666666666668,0.8759673855822009,0.9625728836993829,0.8702392185185238,0.7640317016597106,
BOOKKEEPER,1,31.47,50.0,50.0,Random Forest,Undersampling,No selection,No cost sensitive,268.0,4.0,202.0,40.0,0.9852941176470589,0.8701298701298701,0.9573587819947044,0.826787574290791,
