Index;Issue;IVersion;OVersion;AVersion;FixVersion
0;TAJO-1;0.2.0;0.2.0;;0.2.0;
1;TAJO-10;0.2.0;0.2.0;;0.2.0;
2;TAJO-1000;0.8.0;0.9.0;0.8.0;0.9.0;
3;TAJO-1002;0.9.0;0.9.0;0.9.0;0.10.0;
4;TAJO-1003;0.9.0;0.9.0;0.9.0;0.10.0;
5;TAJO-1004;0.8.0;0.9.0;0.8.0;0.9.0;
6;TAJO-1006;0.8.0;0.9.0;0.8.0;0.9.0;
7;TAJO-1009;0.8.0;0.9.0;0.8.0;0.9.0;
8;TAJO-1011;0.8.0;0.9.0;0.8.0;0.9.0;
9;TAJO-1013;0.8.0;0.9.0;0.8.0;0.9.0;
10;TAJO-1017;0.8.0;0.9.0;0.8.0;0.9.0;
11;TAJO-1020;0.8.0;0.9.0;0.8.0;0.9.0;
12;TAJO-1021;0.8.0;0.9.0;0.8.0;0.9.0;
13;TAJO-1022;0.8.0;0.9.0;0.8.0;0.9.0;
14;TAJO-1024;0.8.0;0.9.0;0.8.0;0.9.0;
15;TAJO-1025;0.8.0;0.9.0;0.8.0;0.9.0;
16;TAJO-1029;0.9.0;0.9.0;;0.9.0;
17;TAJO-103;0.2.0;0.2.0;;0.2.0;
18;TAJO-1037;0.8.0;0.9.0;0.8.0;0.9.0;
19;TAJO-1047;0.8.0;0.9.0;0.8.0;0.9.0;
20;TAJO-1048;0.8.0;0.9.0;0.8.0;0.9.0;
21;TAJO-1050;0.8.0;0.9.0;0.8.0;0.9.0;
22;TAJO-1055;0.8.0;0.9.0;0.8.0;0.9.0;
23;TAJO-1056;0.9.0;0.9.0;;0.9.0;
24;TAJO-1063;0.9.0;0.9.0;0.9.0;0.10.0;
25;TAJO-1064;0.9.0;0.9.0;0.9.0;0.10.0;
26;TAJO-1065;0.8.0;0.9.0;0.8.0;0.9.0;
27;TAJO-1067;0.8.0;0.9.0;0.8.0;0.9.0;
28;TAJO-1072;0.8.0;0.9.0;0.8.0;0.9.0;
29;TAJO-1074;0.9.0;0.9.0;;0.9.0;
30;TAJO-1075;0.9.0;0.9.0;;0.9.0;
31;TAJO-1081;0.8.0;0.9.0;0.8.0;0.9.0;
32;TAJO-1097;0.9.0;0.9.0;;0.9.0;
33;TAJO-1098;0.8.0;0.9.0;0.8.0;0.9.0;
34;TAJO-1099;0.8.0;0.9.0;0.8.0;0.9.0;
35;TAJO-1101;0.8.0;0.9.0;0.8.0;0.9.0;
36;TAJO-1102;0.9.0;0.9.0;;0.9.0;
37;TAJO-1103;0.9.0;0.9.0;;0.9.0;
38;TAJO-1104;0.8.0;0.9.0;0.8.0;0.9.0;
39;TAJO-1106;0.8.0;0.9.0;0.8.0;0.9.0;
40;TAJO-1107;0.8.0;0.9.0;0.8.0;0.9.0;
41;TAJO-1110;0.9.0;0.9.0;;0.9.0;
42;TAJO-1111;0.8.0;0.9.0;0.8.0;0.9.0;
43;TAJO-1113;0.8.0;0.9.0;0.8.0;0.9.0;
44;TAJO-1119;0.8.0;0.9.0;0.8.0, 0.9.0;0.10.0;
45;TAJO-1126;0.9.0;0.10.0;0.9.0;0.10.0;
46;TAJO-1139;0.9.0;0.10.0;0.9.0;0.10.0;
47;TAJO-1146;0.8.0;0.10.0;0.8.0, 0.9.0, 0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
48;TAJO-1147;0.10.0;0.10.0;0.10.0, 0.10.1, 0.11.1, 0.11.2, 0.11.3;0.11.0;
49;TAJO-1150;0.9.0;0.10.0;0.9.0;0.10.0;
50;TAJO-1154;0.9.0;0.10.0;0.9.0;0.10.0;
51;TAJO-1157;0.9.0;0.10.0;0.9.0;0.10.0;
52;TAJO-1158;0.9.0;0.10.0;0.9.0;0.10.0;
53;TAJO-1162;0.9.0;0.10.0;0.9.0;0.10.0;
54;TAJO-1166;0.9.0;0.10.0;0.9.0;0.10.0;
55;TAJO-1178;0.9.0;0.10.0;0.9.0;0.10.0;
56;TAJO-1179;0.9.0;0.10.0;0.9.0;0.10.0;
57;TAJO-1180;0.9.0;0.10.0;0.9.0;0.10.0;
58;TAJO-1181;0.8.1;0.10.0;0.2.0, 0.8.0, 0.9.0;0.10.0;
59;TAJO-1183;0.9.0;0.10.0;0.9.0;0.10.0;
60;TAJO-1185;0.9.0;0.10.0;0.9.0;0.10.0;
61;TAJO-1188;0.9.0;0.10.0;0.9.0;0.10.0;
62;TAJO-1190;0.9.0;0.10.0;0.9.0;0.10.0;
63;TAJO-1191;0.9.0;0.10.0;0.9.0;0.10.0;
64;TAJO-1192;0.9.0;0.10.0;0.9.0;0.10.0;
65;TAJO-1194;0.9.0;0.10.0;0.9.0;0.10.0;
66;TAJO-1196;0.9.0;0.10.0;0.9.0;0.10.0;
67;TAJO-1197;0.9.0;0.10.0;0.9.0;0.10.0;
68;TAJO-12;0.2.0;0.2.0;;0.2.0;
69;TAJO-1200;0.9.0;0.10.0;0.9.0;0.10.0;
70;TAJO-1205;0.8.0;0.10.0;0.8.0, 0.9.0;0.10.0;
71;TAJO-1208;0.10.0;0.10.0;;0.10.0;
